name,place_id
"Sankt-Peterburgskaya Blagotvoritel'naya Obshchestvennaya Organizatsiya ""Perspektivy""",ChIJAQAAACUxlkYRzZ2pqzjotQc
Fresh Eye Gallery,ChIJZ4FM3a0n9ocRdQGv9Lr32wc
Milk River Arts,ChIJ5d9DZIsVsYkRxLa426_pIGk
Workshop 305 Community Interest Company,ChIJz7UCk1QPdkgR4rCClrBqz1k
THEATER THIKWA,ChIJ08JhcidQqEcR2tyz6sc-z5A
Thikwa Werkstatt für Theater und Kunst,ChIJVVUFbCdQqEcRdZySbJhT9IU
Diakonie Himmelsthür e.V.,ChIJSd40nXqlukcRmt32E61x8jg
Theaterwerkstatt Bethel,ChIJJfzRwOE8ukcR5KwtpJl8rWA
TheaterAtelier,ChIJS2RlC391nkcRStZ-S1Wb6Lg
Mosaik-Berlin gGmbH - Betriebsstätte Kreuzberg,ChIJ-8fl7MpPqEcRKgbKbPUWlR0
Mosaik-Berlin gGmbH - Betriebsstätte Mitte,ChIJq-6t5zxOqEcR_Q389jq0khI
Kunst-Praxis-Galerie e.V.,ChIJ7XHrodJiuUcRxJhFBKBP2xg
Kvartier minne-colson,ChIJTx0VOM0wskcRXkoIE66zTpU
Remstal Werkstätten der Diakonie Stetten e.V.,ChIJz-92nLHHmUcRq98lMVgXRTs
Kubeis,ChIJAQBQZvIAkEcR4uXvdrFakKc
BSB Kreativwerkstatt,ChIJbcHZ0Wq5kUcR-DhpCKF4GXY
Galerie der Villa,ChIJN6IZ6EyPsUcR5AxX-HkrMxw
GEYSO20 atelier - galerie - sammlung,ChIJGfuqEoD2r0cRyrkpFDQZumY
VIA Blumenfisch gGmbH,ChIJ1VouHhBQqEcRRyRlLp33nQw
Atelier 5,ChIJta5HdFEfmkcRxPlT-4DoI4A
KunstWerkstatt Marbachshöhe e.V.,ChIJ8VHOaH4_u0cRVNI95ATUyis
Heilpädagogische Hilfe Osnabrück,ChIJs9urqhbvuUcRDOOxiA56p7E
Kraichgau-Werkstatt für behinderte Menschen gGmbH,ChIJu9osogqRl0cRDzYFfIY2lCQ
Kunstwerkstatt willsosein,ChIJm7b4nTGZwEcRpVJiq_miFTg
Teatro la Ribalta,ChIJO84SiL2fgkcRWZnaP5Hju5c
Imagine That,ChIJS8F4KEHwwIcRfzAHmL468r4
Art to Heart,ChIJd35JmMfhHBURheuCiOuV4fI
Kunst+Diakonie e.V.,ChIJi2L6CjBMkEcRZIOFQxunJ0U
Malwerkstatt - Jugend am Werk Steiermark,ChIJVYiGvoY1bkcRJ2Cl-PFypDU
Atelier Augustinum,ChIJ6wk5MeBxnkcRmR3ioJw8QTY
Atelier Freistil,ChIJwXpjJAWRsUcR735CHIbq-gg
artegrale,ChIJ-b6VSUdWskcRcBMOQKgDesM
Open Door Art Studio & Gallery,ChIJGWqgTlCOOIgRiJBxluadbe4
Artists Creating Together,ChIJF9RFJzGsGYgRBLTlCvUVG5Q
ActionSpace,ChIJsX6dwUkbdkgRgoE2pcpUoI8
BEING Studio,ChIJBZkY400EzkwRAO7io5U-twc
Interact Gallery,ChIJ2SPAyQEts1IROcZ72ttvxM0
Interact Center for the Visual and Performing Arts,ChIJY2FBwGhUVEARBN-Ft6z18_k
